"SAMPLEID","LAT","LONG","STATIONID","COLLDATE","COLLMETH","INDEX_REGION","INDEX_NAME","ni_total","nt_total","pt_EPT","pi_EphemNoCaeBae","pi_ffg_filt","pt_ffg_pred","pt_tv_intol","pi_Pleco","pi_ffg_shred","pi_tv_intol","x_Becks"
"2001013",42.266307,-71.522749,"B0360","7/19/2001","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",98,21,33.3333333333333,1.02040816326531,67.3469387755102,9.52380952380952,9.52380952380952,0,1.02040816326531,4.08163265306122,3
"2001017A",42.060733,-71.196394,"B0184","7/31/2001","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",94,22,45.4545454545455,11.7021276595745,24.468085106383,9.09090909090909,36.3636363636364,13.8297872340426,15.9574468085106,32.9787234042553,14
"2001026",42.081539,-72.909846,"B0216","8/13/2001","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",90,29,37.9310344827586,3.33333333333333,21.1111111111111,13.7931034482759,37.9310344827586,15.5555555555556,20,41.1111111111111,22
"2001029",42.101744,-73.096521,"B0212","8/13/2001","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",105,25,52,26.6666666666667,21.9047619047619,16,36,10.4761904761905,16.1904761904762,36.1904761904762,23
"2001030",42.063142,-73.157463,"B0473","8/14/2001","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",101,35,34.2857142857143,9.9009900990099,21.7821782178218,22.8571428571429,34.2857142857143,7.92079207920792,8.91089108910891,44.5544554455446,27
"2001032",42.183802,-73.086528,"B0208","8/14/2001","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",90,31,45.1612903225806,18.8888888888889,24.4444444444444,19.3548387096774,32.258064516129,7.77777777777778,4.44444444444444,37.7777777777778,23
"2001033",42.200177,-73.091974,"B0205","8/14/2001","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",106,32,37.5,17.9245283018868,33.9622641509434,18.75,31.25,4.71698113207547,4.71698113207547,28.3018867924528,23
"2001034",42.14923,-72.751831,"B0474","9/4/2001","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",98,29,34.4827586206897,4.08163265306122,23.469387755102,13.7931034482759,27.5862068965517,2.04081632653061,5.10204081632653,24.4897959183673,18
"2001035",42.128149,-72.813038,"B0475","9/4/2001","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",92,24,33.3333333333333,7.60869565217391,52.1739130434783,12.5,33.3333333333333,2.17391304347826,7.60869565217391,33.695652173913,16
"2001036",42.128605,-72.816693,"B0476","9/4/2001","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",99,29,44.8275862068966,21.2121212121212,36.3636363636364,20.6896551724138,31.0344827586207,5.05050505050505,15.1515151515152,32.3232323232323,17
"2001037",42.121867,-72.870793,"B0477","9/4/2001","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",96,24,50,8.33333333333333,18.75,20.8333333333333,41.6666666666667,10.4166666666667,12.5,45.8333333333333,21
"2001038",42.332789,-73.082602,"B0478","9/5/2001","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",104,38,50,23.0769230769231,25.9615384615385,21.0526315789474,42.1052631578947,12.5,10.5769230769231,51.9230769230769,30
"2001040.2",42.327334,-73.084498,"B0480","9/5/2001","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",92,33,45.4545454545455,22.8260869565217,33.695652173913,21.2121212121212,45.4545454545455,7.60869565217391,6.52173913043478,50,27
"2001041",42.256648,-73.055977,"B0481","9/5/2001","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",92,33,33.3333333333333,9.78260869565217,30.4347826086957,9.09090909090909,24.2424242424242,7.60869565217391,9.78260869565217,19.5652173913043,18
